#{"t_start": 1777539009.2851279, "env_id": "None"}
r,l,t
-0.126221,17,0.68812
-0.145492,15,0.690346
-0.14724,17,0.692749
-0.133421,15,0.694888
-0.371218,34,0.700022
-0.196315,28,0.704036
-0.217415,20,0.70699
-0.15321,19,0.709729
-0.21631,30,0.713831
-0.244069,27,0.717769
-0.14976,17,0.720134
-0.223082,35,0.725248
-0.152891,16,0.727612
-0.111167,12,0.729313
-0.242107,22,0.732373
-0.106547,8,0.733474
-0.083856,7,0.734426
-0.16294,20,0.737117
-0.230414,22,0.740111
-0.122227,11,0.741596
-0.102425,7,0.742557
-0.159781,14,0.744447
-0.225128,28,0.748432
-0.391763,42,0.754389
-0.103785,10,0.755873
-0.192205,24,0.759159
-0.406449,39,0.764607
-0.122327,14,0.766637
-0.120005,14,0.768617
-0.135575,14,0.770502
-0.143626,13,0.77223
-0.235355,29,0.776127
-0.175674,20,0.778876
-0.20335,30,0.782834
-0.129355,23,0.785829
-0.164714,13,0.787531
-0.111721,11,0.789011
-0.117495,9,0.790244
-0.143325,20,0.792913
-0.092166,14,0.794795
-0.11661,10,0.79615
-0.177827,18,0.798672
-0.126525,14,0.800623
-0.225372,24,0.803914
-0.260919,37,0.808855
-0.074028,9,0.81006
-0.102359,9,0.811266
-0.128018,9,0.812475
-0.123287,12,0.814099
-0.1497,13,0.81591
-0.294402,35,0.820554
-0.170716,23,0.823609
-0.091869,8,0.824712
-0.137978,14,0.826654
-0.249042,28,0.830523
-0.096825,9,0.83176
-0.122279,14,0.833656
-0.151132,13,0.835419
-0.094276,7,0.836379
-0.175592,26,0.839899
-0.097648,8,0.840986
-0.093824,9,0.842243
-0.188713,19,0.844817
-0.177038,17,0.847095
-0.119177,9,0.848357
-0.172563,16,0.850498
-0.138897,21,0.853306
-0.24695,26,0.856921
-0.126777,10,0.858259
-0.108533,12,0.859855
-0.200571,17,0.86213
-0.133946,9,0.863345
-0.309026,32,0.867763
-0.116154,11,0.869245
-0.157599,15,0.871231
-0.110402,9,0.872485
-0.612513,87,0.884142
-0.164915,20,0.886842
-0.456417,67,0.895595
-0.11988,12,0.897275
-0.149495,15,0.899444
-0.104616,9,0.900686
-0.139365,14,0.902711
-0.173918,21,0.905761
-0.24365,34,0.910247
-0.14003,17,0.912565
-0.168245,13,0.914347
-0.119938,7,0.915352
-0.082977,8,0.916469
-0.340071,50,0.923137
-0.330199,50,0.930062
-0.436249,57,0.937915
-0.424356,51,0.944693
-0.085572,9,0.945927
-0.096492,10,0.947291
-0.434285,61,0.955399
-0.091696,8,0.956502
-0.103361,8,0.957572
-0.230492,25,0.960836
-0.208194,25,0.964127
-0.115858,12,0.965912
-0.163269,29,1.565151
-0.154429,18,1.56764
-0.097722,10,1.569038
-0.336827,40,1.57447
-0.14273,10,1.575868
-0.142287,13,1.577845
-0.184617,19,1.580475
-0.084304,7,1.581461
-0.208048,29,1.585364
-0.154629,19,1.58796
-0.157468,15,1.590001
-0.099757,8,1.591113
-0.140396,14,1.593047
-0.226695,33,1.5975
-0.189436,21,1.600445
-0.152987,13,1.602406
-0.259941,37,1.607286
-0.183457,24,1.610548
-0.191543,34,1.615127
-0.152582,17,1.617567
-0.130796,12,1.619277
-0.128122,7,1.620434
-0.216924,17,1.622797
-0.215479,21,1.625657
-0.120348,10,1.627067
-0.198023,22,1.630099
-0.536509,66,1.63904
-0.253018,34,1.643632
-0.249939,31,1.647834
-0.193029,28,1.651861
-0.25174,39,1.657014
-0.094682,6,1.657868
-0.10401,7,1.658843
-0.151478,25,1.662229
-0.151405,14,1.66408
-0.148685,16,1.666266
-0.204303,19,1.668801
-0.112284,13,1.670558
-0.155769,10,1.671917
-0.112915,18,1.674371
-0.118209,9,1.675637
-0.152352,13,1.677426
-0.14417,11,1.678993
-0.108063,10,1.68036
-0.310481,35,1.685074
-0.117049,16,1.687218
-0.097811,8,1.688299
-0.131249,17,1.690663
-0.164074,19,1.69323
-0.190691,26,1.696711
-0.08829,8,1.697823
-0.156399,26,1.701328
-0.145119,12,1.702961
-0.090361,12,1.704569
-0.120609,13,1.706355
-0.137695,13,1.708166
-0.118855,8,1.709244
-0.135018,10,1.710585
-0.169428,22,1.713546
-0.129487,17,1.715909
-0.294277,40,1.721487
-0.123493,8,1.722614
-0.176609,14,1.724502
-0.138679,9,1.725731
-0.217225,22,1.728753
-0.120573,9,1.730014
-0.131318,13,1.731875
-0.205389,34,1.736363
-0.207333,23,1.739486
-0.159308,17,1.7418
-0.373789,49,1.748411
-0.088954,7,1.749381
-0.156772,20,1.751968
-0.194682,22,1.754894
-0.116113,12,1.756549
-0.119772,20,1.759231
-0.116036,15,1.761221
-0.142804,15,1.763243
-0.335976,43,1.769004
-0.257278,29,1.77286
-0.12563,16,1.775055
-0.122261,9,1.77629
-0.411243,43,1.782332
-0.181698,28,1.78614
-0.187032,18,1.788591
-0.166662,16,1.790825
-0.079158,11,1.792325
-0.138441,12,1.793948
-0.175327,15,1.795979
-0.634121,59,1.803783
-0.110706,12,1.805397
-0.351655,54,1.812547
-0.143213,12,1.814168
-0.175343,19,1.816776
-0.101035,8,1.81788
-0.164035,14,1.819705
-0.17629,25,1.822965
-0.296197,29,1.8269
-0.138294,16,1.829109
-0.351287,23,1.832218
-0.212745,27,1.835837
-0.1419,17,1.838124
-0.070496,9,1.839385
-0.11081,9,1.840616
-0.090912,7,2.170451
-0.141679,11,2.17211
-0.135911,11,2.173711
-0.088681,10,2.175148
-0.124081,9,2.176439
-0.144615,27,2.18025
-0.125971,18,2.182789
-0.119299,11,2.184327
-0.11922,8,2.185467
-0.170643,14,2.187446
-0.123713,11,2.18902
-0.179416,17,2.191449
-0.093297,11,2.193007
-0.133556,9,2.194268
-0.078261,11,2.195833
-0.345589,43,2.202066
-0.096801,10,2.203495
-0.089756,6,2.204376
-0.192375,20,2.207182
-0.113383,12,2.208863
-0.10265,9,2.210116
-0.103026,8,2.211211
-0.115541,8,2.212363
-0.177204,18,2.214864
-0.157073,21,2.217782
-0.256018,31,2.221967
-0.106942,8,2.223108
-0.186742,27,2.226838
-0.166307,15,2.228911
-0.107619,11,2.230422
-0.146713,11,2.232165
-0.21533,29,2.236178
-0.214151,16,2.238352
-0.165469,18,2.240861
-0.205241,21,2.243766
-0.099747,11,2.245262
-0.233701,28,2.249214
-0.149597,18,2.251651
-0.503171,77,2.261919
-0.3908,66,2.270925
-0.084723,8,2.272052
-0.150199,17,2.274413
-0.11285,8,2.275564
-0.154507,13,2.277349
-0.113661,6,2.27819
-0.103516,9,2.27943
-0.211965,23,2.282614
-0.173507,24,2.285895
-0.145357,11,2.287409
-0.13122,10,2.288795
-0.179167,24,2.292095
-0.149201,24,2.295331
-0.216672,23,2.298737
-0.096843,10,2.300254
-0.149403,18,2.302857
-0.137595,14,2.304877
-0.119956,10,2.30632
-0.165068,10,2.307703
-0.178642,16,2.309904
-0.184215,16,2.312107
-0.153088,17,2.314437
-0.18271,18,2.316967
-0.352344,45,2.323069
-0.09952,13,2.324873
-0.164799,25,2.328344
-0.103897,12,2.330045
-0.087249,9,2.331314
-0.127977,10,2.332684
-0.103631,9,2.333942
-0.112177,9,2.335187
-0.131513,12,2.336835
-0.103402,11,2.338338
-0.157008,14,2.340322
-0.143857,15,2.342408
-0.176332,22,2.345372
-0.130511,12,2.347054
-0.146253,15,2.349212
-0.411496,36,2.354079
-0.152671,17,2.356428
-0.124977,15,2.358513
-0.125252,6,2.359342
-0.175328,22,2.362318
-0.203666,34,2.36737
-0.152625,12,2.369105
-0.141316,16,2.371272
-0.075398,7,2.372243
-0.100364,12,2.373865
-0.149231,17,2.3762
-0.160023,18,2.378706
-0.424853,54,2.386122
-0.083125,7,2.387082
-0.125824,9,2.388298
-0.144488,13,2.390088
-0.306343,41,2.395616
-0.132869,16,2.397801
-0.210232,16,2.400017
-0.117029,11,2.401497
-0.107232,10,2.402852
-0.134183,15,2.404868
-0.451989,62,2.41316
-0.161946,21,2.41603
-0.126136,12,2.417704
-0.105476,7,2.418657
-0.119607,10,2.420008
-0.211392,17,2.422291
-0.21479,22,2.425239
-0.233041,24,2.428458
-0.079796,8,2.429563
-0.294952,38,2.43472
-0.170769,12,2.43633
-0.095539,9,2.437568
-0.180549,15,2.439602
-0.327318,35,2.444317
-0.195078,23,2.447412
-0.120623,11,2.449054
-0.163765,21,2.451922
-0.102582,9,2.453149
-0.068253,6,2.760563
-0.168964,22,2.763535
-0.14473,14,2.765597
-0.134878,18,2.768055
-0.150827,12,2.769684
-0.131788,13,2.771459
-0.231065,16,2.773653
-0.235694,38,2.778854
-0.392385,36,2.78393
-0.185046,21,2.786842
-0.072487,9,2.788079
-0.155485,21,2.790938
-0.101146,11,2.792489
-0.127247,8,2.793578
-0.108384,11,2.795086
-0.374044,48,2.801492
-0.130798,11,2.802981
-0.139064,12,2.804587
-0.121701,8,2.805714
-0.204499,23,2.808809
-0.176495,16,2.81095
-0.113425,7,2.811915
-0.150823,14,2.813791
-0.090503,11,2.815285
-0.102506,8,2.816401
-0.113596,15,2.818422
-0.118722,9,2.819635
-0.261436,26,2.823128
-0.213201,30,2.827134
-0.18793,22,2.8301
-0.206469,30,2.834109
-0.329413,37,2.83903
-0.162373,19,2.841613
-0.111505,10,2.842952
-0.223309,31,2.847056
-0.168995,18,2.849614
-0.122498,18,2.852097
-0.273284,32,2.856451
-0.092334,8,2.85766
-0.214816,29,2.861635
-0.092518,10,2.862988
-0.303698,36,2.867878
-0.08438,8,2.868965
-0.111714,8,2.87005
-0.459107,54,2.877368
-0.345245,39,2.882645
-0.104085,11,2.884134
-0.136199,11,2.885645
-0.09356,9,2.886923
-0.604698,84,2.898212
